Title,Issue found,Step to reproduce,Actual result,Expected result,Severity,IEEE_Type,IEEE_Mode,IEEE_Insertion_Activity,IEEE_Effect,Reason/Recommendation,,
ซ่อน Menu “logbook submission report”,User Profile,1. Login ด้วย Role ที่ไม่ใช่ student 2. ไปที่หน้า Profile 3. เลื่อนลงมาที่ที่ Menu “logbook submission report”,Role ที่ไม่ใช่ นักเรียนจะดาวน์โหลดข้อมูลไม่ได้,ซ่อนเมนูนี้ออกจาก Role ไม่ใช่นักเรียน,Major,Data,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Data, Mode=Wrong, Effect=Functionality",,
General: ซ่อน Download CSV จาก Dashboard Evaluation Form Completion (isMobileDevice),Dashboard Evaluation Form Completion,1. ไปที่หน้า Profile 2. เลือก My Dashboard 3. Tab “Form” เลื่อนลงมา “Evaluation Form Completion ” 4.ใส่ Filter แล้วกดปุ่ม “Download CSV”,ใน app ไม่สามารถ save file ผ่าน web view ได้,ซ่อนปุ่ม “download CSV” จากหน้า app,Minor,Interface,Wrong,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Usability",,
แก้ Procedure log Meta Type ให้เลือกได้อันเดียว,หน้า Procedure Log,ดู Reproduce step ในคลิปที่ Embed Files,,,Major,Logic,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Wrong, Effect=Functionality",,
General: Sort procedure by alphabet,Procedure Log,1. Login ด้วย Student 2. ไปที่ Procedure Log 3. เลือก procedure,Procedure ไม่เรียงตามตัวอักษร,,Major,Logic,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Wrong, Effect=Functionality",,
AbhailLog: View all Procedure Log โหลดไม่ขึ้น,- View all (Scene Procedure Log),1. Login ด้วย Student 2. ไปที่ Procedure Log 3. กดปุ่ม View all,โหลดไม่ขึ้น,,Critical,Logic,Missing,Coding,Performance,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Missing, Effect=Performance",,
Kill App แล้วเปิด Evaluation Form Completion ไม่ได้,Scene Profile > Evaluation Form Completion,"1. Login ด้วย Student 2. Kill app ทิ้ง แล้วเข้า app ใหม่ 3. ไปที่ Profile 4. เลือก menu “Evaluation Form Completion 5. กด Search""",ระบบโหลดข้อมูลไม่ขึ้น,,Critical,Data,Missing,Coding,Performance,"จัดกลุ่มตาม Keyword ที่พบ: Type=Data, Mode=Missing, Effect=Performance",,
Kill app แล้วส่ง Pre-requisite form ไม่ได้,Scene EditForm - ส่ง form จาก menu form - ส่ง form ที่ผูกกับ procedure log,1. Login ด้วย student 2. Kill app ทิ้ง แล้วเข้า app ใหม่ 3. ไปที่ menu “Form” 4. เลือก Form EPA หรือ DOP 5. เพิ่ม Prerequisite Form 6. กด Send,IOS มี 2 แบบ (มีคลิปวิดีโอใน Embed Files) - มี Modal ขึ้นว่า Oops Error sending your submission… ต้องกดส่งซ้ำ 2-3 ครั้งถึงจะส่งไป และ redirect ไปหน้า Oops! something went wrong. - หลังจาก Send ไปแล้ว แต่จะ redirect ไปหน้า Oops! something went wrong. Android (เป็นแค่บางครั้ง) - มี Modal ขึ้นว่า Oops Error sending your submission… ต้องกดส่งซ้ำ 2-3 ครั้งถึงจะส่งไป,,Minor,Interface,Extra,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Extra, Effect=Usability",,
Approve Required Procedure ในหน้า Home ขึ้น 0/0,Home > Approve Required Procedure,1. Login ด้วย student 2. ไปที่หน้า Home,เลขขึ้นว่า 0/0 แต่กดเข้าไปดูแล้วมีกดส่ง procedure อยู่,,Minor,Interface,Wrong,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Usability",,
Create conference บน mobile ไม่ เพิ่มเวลา Check-out ให้เหมือนใน Web,Conference,1. Login ด้วย teacher หรือ admin 2. สร้าง conference,เวลา Check-out ต้อง +1 ชม.จากเวลา End time,,Major,Logic,Missing,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Missing, Effect=Functionality",,
General: Institute admin export ข้อมูลจาก pivot ไม่ได้ (ดักเคส No data),Pivot,1. Login ด้วย Institute Admin 2. Export Procedure/Patient Care รายงานข้อมูลการบันทึกหัตถการแบบสรุป(สำหรับอาจารย์แพทย์) 3. ใส่ filter ให้ครบ 4. กด preview หรือ export as XLSX,Error loading data,please check your filters 500 Internal Server Error,Critical,Data,Wrong,Coding,Performance,"จัดกลุ่มตาม Keyword ที่พบ: Type=Data, Mode=Wrong, Effect=Performance",,
Can not upload picture,,Just upload user profile picture,Cannot up,,Major,Logic,Missing,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Missing, Effect=Functionality",,
Cannot search course using multiple collage year of course,,login system_admin > manu admin > course > filter ด้วย college year มากกว่า 1 อัน,api error,ได้ search result ตาม college year ที่เลือก,Major,Logic,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Wrong, Effect=Functionality",,
Default place value missing,page /admin/rotation,login role inst admin > admin > rotation > create new rotation (มี place อยู่) > กด cancel > กด new rotation,default place หายไป,default place ยังอยู่เหมือนเดิม,Major,Logic,Missing,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Logic, Mode=Missing, Effect=Functionality",,
Pivot - rotation not be filtered by academic year and course,manu pivot,ไปที่ manu pivot > เลือก acadamic_year and college > เลือก course > ไปที่ tab rotation,rotation มาทุกอัน,rotation มาเฉพาะอันที่ตรงกับ acadamic year และ college year,Major,Data,Wrong,Coding,Functionality,"จัดกลุ่มตาม Keyword ที่พบ: Type=Data, Mode=Wrong, Effect=Functionality",,
Victory cup not appear when select some rotation,,login student > profile > achievement > เลือก rotation demo-rotation > เลือก EPA1,,,Minor,Interface,Missing,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Missing, Effect=Usability",,
Evaluation Form Completion (UI),Menu Evaluation Form Completion,1. ไปที่ Dashboard: Form Evaluation Form Completion 2. กดที่ Card เพื่อดู Detail การส่ง Form 3. Drawer เปิดไม่เต็มหน้าจอ,- ดูไม่รู้เรื่อง,,Minor,Interface,Wrong,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Wrong, Effect=Usability",,
General: Place of procedure ที่ Procedure log detail หาย,Procedure log detail,กดเข้าไปดู procedure log ที่ Submitted/Approved แล้ว,Place of procedure หาย,,Minor,Interface,Missing,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Missing, Effect=Usability",,
General: Progress bar on the Approved Required Procedure card doesn't work,Scene Home,1. Login ด้วย student 2. ไปที่หน้า Home,Progress Bar ของ Approved require procedure ไม่แสดง ทั้ง ๆ ที่มีการ Approved แล้ว,,Minor,Interface,Missing,Coding,Usability,"จัดกลุ่มตาม Keyword ที่พบ: Type=Interface, Mode=Missing, Effect=Usability",,
Icon menu score/patient care หาย,,,,,Minor,Interface,Missing,Design,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Interface (Missing),,
Place of procedure should not controlled by feature form,Sence procedure edit > place of procedure always show when open feature form,-,-,ควรแยก feature กันระหว่าง place of procedure and form,Minor,Logic,Wrong,Coding,Functionality,จำแนกเป็น Logic/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Functionality ในขั้นตอน Coding,,
แก้ UI Filter Departments ที่หน้า course,Department admin > admin > course,"1.login ด้วย teacher1
 2.ไปที่เมนู admin > course",filter department ถูก disable ไว้,"แบบที่ 1. แก้ให้สามารถ filter ได้ → init value เป็น null 
 แบบที่ 2. disable ไว้แต่ display ต้อง departments ทั้งหมดที่ user อยู่",Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
General: Navigate back ด้วย browser ที่หน้า Web ทำให้เกิด Log ว่าง,Procedure Log & Patient Care,"1. login ด้วย student
 2. ไปที่เมนู Procedure Log หรือ Patient Care
 3. กด + Add
 4. กดปุ่ม back ที่ browser",ไม่ delete log ให้ ทำให้ log ว่างอยู่ในระบบ,,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Bug cannot change rotation in home Scence,,home sence → change rotation → ลองเปลี่ยนไปหน้าอื่นๆ eg. procedure → กลับมา home → !! rotation ไม่เปลี่ยน,rotation เปลี่ยน,,Major,Logic,Missing,Coding,Functionality,จำแนกเป็น Logic/Missing เนื่องจากพบปัญหาที่กระทบต่อ Functionality ในขั้นตอน Coding,,
Select box in create course modal cannot use search,admin > course > new course,"new coures > type search in form, procedure group, department cannot search",,,Major,Logic,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Logic (Missing),,
Select Box (course) in Modal edit/create rotation cannot search,admin > rotation > edit rotation,,,,Major,Logic,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Logic (Missing),,
Missing Picture profile in form detail page,myform > form สักอัน,myform > form สักอัน > รูป profile ไม่ขึ้น,ต้องมีรูป profile หรือ default รูป profile,,Minor,Data,Missing,Coding,Functionality,จำแนกเป็น Data/Missing เนื่องจากพบปัญหาที่กระทบต่อ Functionality ในขั้นตอน Coding,,
"Cannot use {, [, ( as search params in api search procedure",resourses > Proedure Log > serach หน้าในช่อง box,,,,Major,Logic,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Logic (Missing),,
Cannot type float number in value choice of question multiple choice/check,resourse > form > form_detail,,,,Major,Logic,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Logic (Missing),,
Form > View All กดเข้าไปดูแล้ว ไม่สามารถ Navigate ไปหน้าอื่นได้,Student > Scene Form > View All,"1. ไปที่หน้า form
 2. กด View All
 3. กดปุ่ม Back หรือ กด inbox, rotation, profile",ไม่สามารถออกจากหน้า view all ได้,,Minor,Interface,Wrong,Design,Functionality,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Functionality ในขั้นตอน Design,,
General: Dashboard Superset ** cannot แก้ *** TT,,"1 ไปที่ Home
 2 กดที่สัญลักษณ์ลิ้งค์ที่แทปเมนู Procedure/Patientcare
 3 เปลี่ยนเป็นหน้า login",เปลี่ยนเป็นหน้า login,กดแล้วควรเป็น action ของสัญลักษณ์นั้น,Major,Logic,Missing,Requirements,Security,จำแนกเป็น Logic/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
ซ่อนบางเมนูของ admin ออกจากราชวิทยาลัย,"Menu Admin> Course, Rotation > Users > Student Group","1. Login ด้วย Institute Admin
 2.ไปที่เมนู admin","Institute admin ของราชวิทยาสามารถ edit course, rotation และ student group ได้
 ทำให้สร้างและแก้ไขข้อมูลได้เอง ทำให้ระบบเกิดความผิดพลาด",จำกัดเฉพาะ System Admin ที่สามารถแก้ไข้ได้,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Click change rotation multiple times make application crash,,click nav bar procedure > change rotation > multiple times,,,Critical,Interface,Wrong,Design,Performance,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Interface (Wrong),,
Cannot load file in Conference using mobile,conference web view page,conference > click download link file > permission denined,can download file,,Major,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Bug Form ไม่สามารถ save ได้,Form Detail > Questions > Multiple choice,"1.กดสร้าง Form
 2.ตั้งชื่อ
 3.Edit Questions
 4.กด Add new question
 5. เลือก qtype = multiple choice
 6. Add new choice
 7. กด Add new choice ครั้งที่ 2 
 8. ใส่เลข",หลังจาก ใส่เลขแล้ว choice ข้อที่ 1 หายไป แล้วพอกด Update ระบบก็เด้งไปหา Oops Something went wrong แล้วต้อง login เข้ามาใหม่,ควรจะ save choice ที่สร้างได้,Major,Data,Missing,Requirements,Security,จำแนกเป็น Data/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Filter inactive logbook out from logbook dashboard,dashboard logbook > Summary & Procedure List,"1. login
 2. menu dashboard > logbook
 3. filter Rotation, Student Group and Student",logbook ที่ถูกลบไปแล้วยังแสดงอยู่ใน Summary & Procedure List,filter log ที่ถูก delete ทิ้งไปออก,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
General: Form Result ไม่แสดง,หน้า form submission detail,"1.เข้า log ด้วย user 57706
 2.ไปที่หน้า my form
 3.เลือก form DOPs 3
 4. form ที่ส่งหลังจากวันที่ 15 March 2024",Result ไม่ขึ้นเพราะติด Pagination ใน api search,,Major,Data,Missing,Coding,Functionality,จำแนกเป็น Data/Missing เนื่องจากพบปัญหาที่กระทบต่อ Functionality ในขั้นตอน Coding,,
ส่ง Submission ไม่ได้,เมนู Form,"1.Log in ด้วย student
 2.ไปที่เมนู form
 3.กด +
 4.ลองส่ง Form",เวลาที่ส่ง Form ไปแล้วจะขึ้นว่า Oops! Something went wrong ที่จริง ๆ แล้วส่ง Form ไป ส่วนใน Rancher มี Error ตาม File ด้านล่าง,ควรจะส่ง Form ได้ หรือถ้าส่ง Form ไปแล้วก็ไม่ควรมี Error ขึ้น เพราะถ้ามี Error ขึ้นลูกค้าจะกดส่งอีกครั้ง จนมี Submission ซ้ำกันบนระบบเยอะ,Major,Data,Missing,Coding,Functionality,จำแนกเป็น Data/Missing เนื่องจากพบปัญหาที่กระทบต่อ Functionality ในขั้นตอน Coding,,
Evaluation Form Completion แสดง Result ผิด,Dashboard Evaluation Form Completion,"1. ไปที่ Dashboard Evaluation Form Completion
 2. เลือก Filter ตามรูปด้านล่าง","- Condition Non-trauma ขั้นที่ 2 แสดงจำนวน Passed ผิด 
 - อาจารย์ประเมินใน Form ว่าผ่านระดับ 3 แล้ว แต่ระบบให้ผ่านแค่ขั้น 1 ทั้งที่ควรจะผ่านขั้น 1 และ 2",,Minor,Data,Wrong,Coding,Functionality,จำแนกเป็น Data/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Functionality ในขั้นตอน Coding,,
cannot filter in Dashboard Superset,dashboard superset > ไม่แสดงข้อมูลที่ filter ด้วย Procedure,"1. ไปที่หน้า home
 2. เลือก filter ด้วย Procedure (รูปใน comment)",,หากเลือก Procedure เป็น criteria ต้องสามารถใช้งานได้,Major,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
พิมพ์ Note ยาว ๆ แล้วส่ง Form Submission ไม่ได้,เมนู Form,"1. Login ด้วย Student
 2. ไปที่เมนู Form
 3. กดเพิ่ม Form
 4. ใส่ Note ยาว ๆ",ปุ่ม Send Form เลื่อนลงไปข้างล่างแล้วกดส่งไม่ได้,"- Fixed ขนาดกล่อง Note แล้วใส่ ScrollView หรือ
 - เพิ่ม margin bottom ของปุ่ม Send Form (ดูตัวอย่างได้ที่หน้า Add procedure log)",Major,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Cannot pivot procedure with very large data,admin > pivot > รายงานแบบสรุป (สำหรับอาจารย์แพทย์),,,,Major,Data,Missing,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Missing),,
Change logic filter conference,Filter conference,"1. login ด้วย student 
 2. ไปที่ menu Conference",ไม่เห็น Conference ที่ไม่ได้ใส่ Rotation (Rotation == ALL),ถ้าใส่ Rotation ที่ conference เป็น ALL ควรเห็นทุก rotation,Major,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Export > Duty Hour > Checkin/Checkout time ที่ export ได้ ไม่ตรงกับบนเครื่อง นศพ,Checkin/Checkout time ที่ export ได้ ไม่ตรงกับบนเครื่อง นศพ,,,,Major,Data,Wrong,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Wrong),,
Export > Duty Hour > ได้ Lat/Long = 0,Export > Duty Hour > ได้ Lat/Long = 0,,,,Major,Data,Wrong,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Wrong),,
add student’s rotation field in Export DutyLog Hour,,,,,Major,Data,Wrong,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Wrong),,
application crash,consultation,login as student > home > nav bar - consultation > application crash,application crash > app close,enter to consultation scene,Critical,Logic,Wrong,Requirements,Security,จำแนกเป็น Logic/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Can not create log in active rotation,login with student1 > procedure log page,login with student1 > procedure log > change rotation to Test Rotation By 2 > click “+ Add” button,can not click button,redirect to new log edit page,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Add loader when selecting evaluator,Procedure edit scence,procedure > select evaluator,wait some minutes to enable submit button,have a loader during validate evaluator,Minor,Interface,Wrong,Design,Performance,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Performance ในขั้นตอน Design,,
Missing notification after form submit,-,login with teacher > submit form,no notification in student,have notification,Minor,Logic,Missing,Requirements,Security,จำแนกเป็น Logic/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
สร้าง Sub-Conference ไม่ได้ และ Sub Conference ไม่ขึ้น,Conference,"1.สร้าง Conference
 2.สร้าง Sub Conference","ไม่สามารถสร้าง Sub conference ได้, Sub conference ที่สร้างไว้แล้วไม่ขึ้น",สามารถสร้าง sub conference ได้ และ มี sub conference ขึ้น,Major,Logic,Missing,Coding,Functionality,จำแนกเป็น Logic/Missing เนื่องจากพบปัญหาที่กระทบต่อ Functionality ในขั้นตอน Coding,,
Score created fail when create Score via Aneslog App,ไม่สามารถ Create Score ผ่าน AnesLog App ได้,"AnesLog Mobile
 1. เข้า AnesLog Mobile
 2. Login as Teacher
 3. กดรูป Profile
 4. เลือกเมนู Score
 5. กดปุ่ม + SCORE
 6. ระบุ Score Detail
 7. กด Confirm",Score created fail,สามารถ Create Score ใน AnesLog ได้,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
เปลี่ยน Wording ของค่า Min และ Max ในเมนู Score,มีปัญหาในการเข้าใจ wording ในค่า mix และ max ของเมนู score,"AnesLog
 1. เลือกเมนู Score
 2. กดปุ่ม + SCORE (NEW)
 3. ระบุ Score Detail (Score)","Min คือ คะแนนต่ำสุดของ, Max คือ คะแนนเต็ม ของการสอบ",,Minor,Interface,Wrong,Design,Usability,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Usability ในขั้นตอน Design,,
Export ข้อมูลแล้ว Field Procedure Name ขึ้นเป็น 0,Menu Export,,,,Major,Interface,Wrong,Design,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Interface (Wrong),,
เพิ่ม Field Procedure level ที่ Export,,,,,Major,Data,Wrong,Coding,Functionality,วิเคราะห์จากบริบทของปัญหา พบว่าเป็นข้อบกพร่องด้าน Data (Wrong),,
ปรับ Title ของ Form โดยที่เห็นชื่อ Form ทั้งหมด,ชื่อ Title Form ที่ยาวเกินไปจะตัดเป็นตามด้วย …. แทน,"Student
 1. เลือกเมนู Home
 2. เลือกเมนู My Form
 

 Teacher
 1. เลือกเมนู Instructor
 2. เลือกเมนู My Form",เห็นชื่อ Title Form ไม่ครบ,เห็นชื่อ Title Form ทั้งหมด,Minor,Logic,Extra,Coding,Functionality,จำแนกเป็น Logic/Extra เนื่องจากพบปัญหาที่กระทบต่อ Functionality ในขั้นตอน Coding,,
เมื่อคลิก หรือ open เข้าที่ Form จะเปลี่ยนจาก Current Window เป็น Open New Window,ต้องการให้หน้า Form ที่เลือกไปเปิดในแถบหน้าต่างใหม่ หรือ new window,"Teacher
 1. เลือกเมนู Instructor
 2. เลือกเมนู My Form",รูปแบบ Form ที่เลือกจะเปิดในแถบหน้าปัจจุบัน หรือ current window,รูปแบบ Form ที่เลือกจะไปเปิดเป็นแถบหน้าต่างใหม่ หรือ new window,Minor,Data,Wrong,Coding,Functionality,จำแนกเป็น Data/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Functionality ในขั้นตอน Coding,,
พบ Something went wrong เมื่อกดเข้า Prerequisite Form ผ่านมือถือ Android,"เมื่อกดเข้า Prerequisite Form ของมือถือ Android จะปรากฎ Oops!, Something went wrong (คนเกาหัว).","Android & IOS
 1. เลือกเมนู Form ด้านล่าง
 2. กดเข้า Form
 3. กด Prerequisite Form",ไม่สามารถกดเข้า Prerequisite Form ในมือถือ android ได้,สามารถกดเข้า Prerequisite Form ในมือถือ android ได้,Minor,Interface,Wrong,Design,Usability,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Usability ในขั้นตอน Design,,
ทุกครั้งที่ทำการ kill app เข้าใหม่แล้วสร้าง Form EPA/DOP จะเจอกับคนเกาหัว,เจอคนเกาหัว เมื่อสร้าง Form EPA/DOP ทุกครั้งหลังจาก kill app แล้วเข้าใหม่,"Student (IOS)
 1. login Log as student
 2. kill app หรือ ปัดหน้าจอ app ทิ้ง
 3. กดเข้า app ใหม่อีกครั้ง
 4. เลือกเมนู Form หรือกด + Add Form
 5. เลือก Form EPA/DOP > เลือก Self Reflection Form
 6. เลือก Evaluator
 7. กด Send",เจอคนเกาหัว เมื่อสร้าง Form EPA/DOP ทุกครั้งหลังจาก kill app แล้วเข้าใหม่,ไม่เจอคนเกาหัว เมื่อสร้าง Form EPA/DOP,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
ไม่สามารถ Search ดู Achievement ได้,เข้าไปดู Achievement และเลือก Rotation กับ Form เมื่อกด Search ไม่มีอะไรปรากฎขึ้นมาเลย,"Mobile
 1. Login as student
 2. Choose or press Profile Icon
 3. Choose menu My Achievement
 4. Select Rotation
 5. Select Form
 6. Press “Search” button
 

 Website
 1. Login as student
 2. Click menu Profile
 3. Click menu Achievement
 4. Select Rotation
 5. Select Form
 6. Press “Search” button",เมื่อกด Search แล้วไม่ปรากฎอะไรเลย,จะปรากฎ Achievement ของ Form ที่เลือกใน Rotation นั้นๆ,Minor,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
[General] ไม่มีการแสดง Rotation หรือ Department ของผู้ส่ง Form,ไม่มี Rotation หรือ Department บอกว่า Form จากมากไหน,"Website
 1. Login as Teacher
 2. Choose menu Instructor
 3. Choose menu My Form
 4. Click or Press “Form”
 5. Scroll down to Form (Form Detail)",ไม่ปรากฎ Rotation or Department ของผู้ส่ง Form,ปรากฎ Rotation or Department ของผู้ส่ง Form,Minor,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
แอพค้างที่หน้าจอสีขาวเวลา Navigate Back กลับมาที่หน้า Home,SceneHome,"1.Login ด้วย Student
 2.กดไปดูเมนูอื่น ๆ หรือ กดปุ่ม Procedure Log Progress, Patient Care Log
 3.Back กลับมาที่หน้า home",แอพค้างขึ้นหน้าจอสีขาว ต้อง kill app ทิ้งแล้วเข้าใหม่ถึงจะใช้งานได้ปกติ,ระบบควรจะ Navigate กลับมาที่หน้า home ได้ปกติ,Critical,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Question type: Slider เมื่อเลือกตอบใน slide bar แล้วคำตอบที่เลือกมีการลิงค์กับคำตอบของ slider ข้ออื่นในฟอร์มเดียวกัน,Slide bar ที่เลือกตอบมีการลิงค์หรือเชื่อมกับ slide bar ในข้ออื่นในฟอร์มนั้นๆ,"Website
 1. Login as teacher1
 2. Select menu “Instructor”
 3. Choose menu “My Form”
 4. Select Form Type “RegularForm”
 5. Choose or click “Form 101”
 

 Mobile
 1. Login as teacher1
 2. Select menu “Form”
 3. Choose or press “Form 101”",Slide bar ที่เลือกตอบมีการลิงค์หรือเชื่อมกับ slide bar ในข้ออื่นในฟอร์มนั้นๆ,Slide bar ที่เลือกตอบจะไม่มีการลิงค์กับ slide bar ในข้ออื่นๆ,Minor,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
Question type: Slider เมื่อกด submit form แล้วคำตอบที่เลือกไม่บันทึก,เมื่อกด submit form แล้วคำตอบที่เลือกไม่บันทึกและไม่ปรากฎใน Form นั้น,"Website
 1. Login as teacher1
 2. Select menu “Instructor”
 3. Choose menu “My Form”
 4. Select Form Type “RegularForm”
 5. Choose or click “Form 101”
 

 Mobile
 1. Login as teacher1
 2. Select menu “Form”
 3. Choose or press “Form 101”",เมื่อกด submit form แล้วคำตอบที่เลือกไม่บันทึกและไม่ปรากฎใน Form นั้น,เมื่อกด submit form แล้วคำตอบที่เลือกจะบันทึกลงในระบบและปรากฎขึ้นใน Form นั้น,Minor,Interface,Wrong,Requirements,Security,จำแนกเป็น Interface/Wrong เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
General: การ Pivot form ทุกอัน ไม่สามารถ Filter ด้วย student ได้,"ไม่สามารถเลือก หรือ Filter ด้วย student ได้
 เมื่อเลือก หรือ filter ด้วย student หนึ่งคนแต่ข้อมูลของนิสิตนั้นมาปรากฎทั้งหมดทุกคน","Login as Admin
 1. Select menu “Admin”
 2. Select menu “Pivot”
 3. Choose “Form” tab
 4. Click menu tab “ปีการศึกษา” and change ปีการศึกษา 2024 to 2017
 5. Click menu tab “รายวิชา” and select all
 6. Click menu tab “Rotation” and select all
 7. Click menu tab “นักเรียน” and select “ลัดดา จุลมุสิ” 
 8. Click menu tab “แบบประเมิน” and select “EPA16”
 9. Click menu tab “การคำนวณ” and select min
 10. Click menu tab “คำถาม” and select “Self-reflection”
 11. Then press “Preview” button",เมื่อเลือก หรือ filter ด้วย student หนึ่งคนแต่ข้อมูลของนิสิตคนนั้นไม่ได้ปรากฎ,สามารถเลือก หรือ Filter ด้วย student ได้,Major,Interface,Missing,Requirements,Security,จำแนกเป็น Interface/Missing เนื่องจากพบปัญหาที่กระทบต่อ Security ในขั้นตอน Requirements,,
